Community Name,Community Board
Astoria,Queens Community Board 1
Battery Park/Tribeca,Manhattan Community Board 1
Bay Ridge,Brooklyn Community Board 10
Bayside,Queens Community Board 11
Bedford Park,Bronx Community Board 7
Bedford Stuyvesant,Brooklyn Community Board 3
Bensonhurst,Brooklyn Community Board 11
Borough Park,Brooklyn Community Board 12
Brownsville,Brooklyn Community Board 16
Bushwick,Brooklyn Community Board 4
Canarsie,Brooklyn Community Board 18
Central Harlem,Manhattan Community Board 10
Chelsea/Clinton,Manhattan Community Board 4
Concourse/Highbridge,Bronx Community Board 4
Coney Island,Brooklyn Community Board 13
Crown Heights North,Brooklyn Community Board 8
Crown Heights South,Brooklyn Community Board 9
East Flatbush,Brooklyn Community Board 17
East Harlem,Manhattan Community Board 11
East New York,Brooklyn Community Board 5
East Tremont,Bronx Community Board 6
Elmhurst/Corona,Queens Community Board 4
Flatbush/Midwood,Brooklyn Community Board 14
Flushing,Queens Community Board 7
Fort Greene/Brooklyn Hts,Brooklyn Community Board 2
Fresh Meadows/Briarwood,Queens Community Board 8
Greenwich Village,Manhattan Community Board 2
Howard Beach,Queens Community Board 10
Hunts Point,Bronx Community Board 2
Jackson Heights,Queens Community Board 3
Jamaica/St. Albans,Queens Community Board 12
Lower East Side,Manhattan Community Board 3
Manhattanville,Manhattan Community Board 9
Midtown Business District,Manhattan Community Board 5
Morrisania,Bronx Community Board 3
Mott Haven,Bronx Community Board 1
Murray Hill/Stuyvesant,Manhattan Community Board 6
Park Slope,Brooklyn Community Board 6
Pelham Parkway,Bronx Community Board 11
Queens Village,Queens Community Board 13
Rego Park/Forest Hills,Queens Community Board 6
Ridgewood/Glendale,Queens Community Board 5
Riverdale,Bronx Community Board 8
Sheepshead Bay,Brooklyn Community Board 15
South Beach,Staten Island Community Board 2
St. George,Staten Island Community Board 1
Sunnyside/Woodside,Queens Community Board 2
Sunset Park,Brooklyn Community Board 7
The Rockaways,Queens Community Board 14
Throgs Neck,Bronx Community Board 10
Tottenville,Staten Island Community Board 3
Unionport/Soundview,Bronx Community Board 9
University Heights,Bronx Community Board 5
Upper East Side,Manhattan Community Board 8
Upper West Side,Manhattan Community Board 7
Washington Heights,Manhattan Community Board 12
Williamsbridge,Bronx Community Board 12
Williamsburg/Greenpoint,Brooklyn Community Board 1
Woodhaven,Queens Community Board 9
